FILTRO,REGION,REGION_CAB,NOM_COMUNA,ZONA,FENC_DD,FENC_MM,MB_P1_1,MB_P1_2,MB_P1_3,MB_P2,MB_P3,MB_P4,MB_P5,MB_P6,MB_P7,MB_P8,MB_P9,MB_P10,MB_P11,MB_P12,MB_P13,MB_P14,MB_P15,MB_P16,MB_P16_OTRO,MB_P16_A,MB_P16_A_OTRO,MB_P17,MB_P17_OTRO,MB_P17_A,MB_P17_A_OTRO,MB_P18,MB_P18A,MB_P19_A,MB_P19_B,MB_P19_C,MB_P19_D,MB_P19_E,MB_P19_F,MB_P19_G,MB_P19_H,MB_P19_I,MB_P19_J,MB_P19_K,MB_P19_L,MB_P19_M,MB_P19_N,MB_P19_O,MB_P19_P,MB_P19_Q,MB_P19_R,MB_P19_S,MB_P19_T,MB_P19_U,MB_P19_V,MB_P19_W,MB_P19_X,MB_P19_Y,MB_P19_Z,MB_P19_AA,MB_P19_BB,MB_P19_CC,MB_P19_DD,MB_P19_EE,MB_P20,MB_P21,MB_P22_1,MB_P22_2,MB_P22_3,MB_P22_4,MB_P22_5,MB_P22_6,MB_P22_7,MB_P22_8,MB_P23,MB_P24,MB_P25_1,MB_P25_2,MB_P25_3,MB_P25_4,CISSP_25B_1_1,CISSP_25B_1_2,CISSP_25B_1_3,CISSP_25B_1_4,CISSP_25B_1_5,CISSP_25B_1_6,CISSP_25B_1_7,CISSP_25B_1_8,CISSP_25B_1_9,CISSP_25B_2_1,CISSP_25B_2_2,CISSP_25B_2_3,CISSP_25B_2_4,CISSP_25B_2_5,CISSP_25B_2_6,CISSP_25B_2_7,CISSP_25B_2_8,CISSP_25B_2_9,MB_P26,MB_P27,MB_P28,MB_P29,MB_P300,MB_P31,MB_P32,MB_P33_1,MB_P33_2,MB_P33_3,MB_P33_4,MB_P33_5,MB_P33_6,MB_P33_7,MB_P33_8,MB_P34_1,MB_P34_2,MB_P34_3,MB_P34_4,MB_P34_5,MB_P35,CISSP_1_1,CISSP_1_2,CISSP_2_1,CISSP_2_2,CISSP_2_3,CISSP_2_4,CISSP_2_5,CISSP_2_6,CISSP_2_7,CISSP_2_8,CISSP_2_9,CISSP_3,CISSP_4,CISSP_5,CISSP_6,CISSP_6_OTRO,CISSP_7,CISSP_8_1,CISSP_8_2,CISSP_9,CISSP_10,CISSP_11,CISSP_12_1,CISSP_12_2,CISSP_12_3,CISSP_12_4,CISSP_12_5,CISSP_12_6,CISSP_12_7,CISSP_12_8,CISSP_13_1,CISSP_13_2,CISSP_14_1,CISSP_14_2,CISSP_15,CISSP_16,CISSP_17,CISSP_18,CISSP_19_1,CISSP_19_2,CISSP_20,CISSP_21,CISSP_22_1,CISSP_22_2,CISSP_23,CISSP_24_1,CISSP_24_2,CISSP_24_3,CISSP_25_1,CISSP_25_2,CISSP_26,CISSP_27,CISSP_28,CISSP_29_1,CISSP_29_2,CISSP_29_3,CISSP_29_4,CISSP_29_5,CISSP_29_6,CISSP_30,CISSP_31,CISSP_32,CISSP_33_ANO,CISSP_33_MES,CISSP_34,CISSP_35,CISSP_36,CISSP_37,CISSP_38,CISSP_39_1,CISSP_39_2,CISSP_39_3,CISSP_39_4,CISSP_39_5,CISSP_39_6,CISSP_40_1,CISSP_40_2,CISSP_40_3,CISSP_40_4,CISSP_40_5,CISSP_40_6,CISSP_41,CISSP_42,CISSP_43,CISSP_43_OTRO,CISSP_44,CISSP_45,CISSP_46_1,CISSP_46_2,CISSP_46_3,CISSP_46_4,CISSP_46_5,CISSP_47,CISSP_48,CISSP_49,CISSP_50_1,CISSP_50_2,CISSP_51,DS_P1,DS_P2,DS_P2_EXACTA,DS_P2_EDAD_APROX,DS_P2A_DIA,DS_P2A_MES,DS_P2A_ANO,DS_P3,DS_P4,DS_P5,DS_P6,DS_P6_HORAS,DS_P7,DS_P8,DS_P8_EXACTO,DS_P9,DS_P10,DS_P10_EXACTO,DS_P11,DS_P12,DS_P13A,DS_P13A_PRINCIPAL,DS_P13B,DS_P13B_PRINCIPAL,DS_P13C,DS_P13C_FUNCION,DDP13ciuo08,DS_P14,DS_P15,DS_P16,DS_P17,DS_P17_NHORAS,DS_P18,DS_P19,DS_P20A,DS_P20A_ACTIVIDAD,DS_P20B,DS_P20B_FUNCIONES,DS_P20C,DS_P20C_OTRO,DDP20cuio08,DS_P21,DS_P22,DS_P23,DS_P24,DS_P25,DS_P25_OTRA,DS_P26,DS_P27,DS_P28,DS_P29,DS_P29_OTRO,DS_P30,DS_P31,DS_P31_OTRO,DS_P32A,DS_P32A_OTRO,DS_P32B,DS_P32B_OTRO,DS_P32C,DS_P32C_OTRO,DS_P33,DS_P33_EDAD,DS_P34,DS_P35,DS_P36,DS_P37,DS_P37_OTRO,DS_P38,DS_P38_OTRO,DS_P39,DS_P40,DS_P41,P42_1,P42_2,P42_3,P42_4,P42_5,P42_6,P42_7,P42_8,P42_9,P42_10,P42_11,P42_12,P42_13,P42_14,P42_15,P42_16,P42_17,P43_1,P43_2,P43_3,P43_4,P43_5,P43_6,PONDERADOR,SEXO_ENTREV,EDAD_ENTREV,TRAMO_EDAD,GSE,POSICION_POLITICA,ESCOLARIDAD
1007,De Los Lagos,10,Puerto Montt,1,16,4,10,3,6,2,2,2,4,1,2,2,2,2,2,2,1,2,3,1,-,,-,1,-,,-,1,,2,2,2,6,2,2,1,2,3,2,2,2,4,3,2,2,2,4,3,8,6,3,2,2,2,6,2,6,2,6,6,1,3,1,5,1,4,1,6,3,1,2,8,4,4,4,4,4,2,4,4,4,2,2,1,3,2,3,4,2,3,3,3,2,2,2,2,3,1,2,1,1,3,2,3,3,3,2,2,1,3,4,4,4,3,3,4,4,1,2,2,2,2,2,2,2,4,3,2,2,,-,2,2,2,3,1,2,1,2,4,2,4,2,2,1,5,5,5,5,1,1,1,1,5,3,2,2,1,8,2,4,1,1,4,2,5,4,3,5,5,5,5,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,-,,1,1,1,1,1,1,2,1,1,2,4,3,2,1,81,,20,4,1934,3,1,1,1,50,1,,,2,,,2,2,1,ASESORA DEL HOGAR,1,"CUIDAR A UNA PERSONA DE EDAD, HACER ASEO, COCINAR",1,ASESORA DE HOGAR,9111,1,3,,,,,,,-,,-,,-,,,1,2,3,1,-,3,8,1,9,-,88,1,1,1,1,1,0,1,0,98,,11,11,5,1,-,1,-,3,1,3,1,2,2,2,1,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,0.234,2,81,5,3,1,1
1009,De Los Lagos,10,Calbuco,1,11,4,10,14,3,3,2,3,3,2,3,2,2,1,1,1,1,1,1,9,-,5,-,2,-,,-,5,,2,4,4,6,4,4,4,6,4,2,4,4,2,6,4,4,4,2,2,6,4,4,4,4,2,2,2,4,6,6,6,2,1,5,5,5,5,4,5,5,4,1,1,3,2,4,2,4,1,2,4,4,4,4,2,4,2,1,3,3,2,1,1,1,1,1,2,2,1,2,1,1,3,3,3,3,3,3,1,1,3,2,2,4,2,3,2,4,1,1,1,2,2,2,2,2,2,1,4,3,,-,3,2,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2005,12,3,5,2,,,,,,,,,,,,,,,,,3,-,1,2,,,,,,3,3,2,2,2,4,1,1,76,,21,2,1939,8,2,2,,,2,,,2,,,1,2,1,CHOFER DE CAMIONETA,1,"TRASLADAR PERSONAS DENTRO DE LA CIUDAD, FLETE",1,PRESTAR SERVICIO DE FLETE,8322,8,1,1,1,60,2,2,1,COMERCIANTE DE NEGOCIO,1,"ATENCIN DE PUBLICO, EN VENTA DE NEGOCIO",1,COMERCIO DE ABARROTES,5221,1,3,3,3,1,-,8,4,1,5,-,88,1,2,1,2,1,0,1,0,98,,4,9,1,1,-,1,-,1,1,4,1,1,1,1,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0.486,1,76,5,3,3,2
1010,De Los Lagos,10,Calbuco,1,11,4,2,16,3,3,2,4,3,2,1,1,1,1,1,1,1,1,2,1,-,,-,2,-,,-,4,,4,4,6,6,4,4,2,8,4,4,4,4,4,6,6,6,4,4,4,6,6,8,6,4,4,4,2,6,6,6,4,1,1,5,5,4,4,3,5,4,3,2,2,4,4,4,2,3,1,3,3,3,2,2,1,3,1,2,2,2,3,3,2,1,3,2,1,3,2,2,1,1,1,1,1,1,2,1,2,1,4,3,2,2,2,3,3,2,2,2,2,2,2,2,1,2,2,3,1,2,,-,2,2,2,1,1,1,4,2,4,2,2,2,2,2,3,5,3,5,1,1,1,4,2,5,4,2,2,1,2,2,2,4,2,2,3,2,1,2,2,2,4,3,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,-,,1,1,2,3,1,3,3,2,2,2,2,3,1,1,62,,1,2,1953,10,3,1,1,45,1,,,2,,,1,2,1,JORNAL DE CONSTRUCCIN,1,"AYUDAR A LOS CARPINTEROS, LIMPIAR, PREPARAR MEZCLA, LL3VAR MATERIALES",1,CONSTRUCCIN,7112,1,3,,,,,,,-,,-,,-,,,1,2,3,1,-,6,5,1,5,-,88,1,6,1,2,1,4,1,0,1,12,9,9,4,1,-,1,-,3,3,4,1,1,1,1,1,1,1,2,2,2,2,1,2,1,1,2,2,1,2,2,2,2,2,0.486,1,62,5,4,3,3
1011,De Los Lagos,10,Calbuco,1,11,4,3,8,10,3,1,4,2,1,1,1,1,2,1,1,1,8,2,88,-,9,-,8,-,8,-,1,,2,6,6,6,4,3,6,6,6,6,4,6,4,6,6,6,6,6,4,6,6,4,6,8,3,6,6,6,6,6,6,8,8,3,5,5,5,5,5,88,88,1,1,8,2,8,3,2,2,2,4,8,8,3,2,8,1,2,3,8,3,3,2,2,2,8,8,4,2,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,4,2,2,8,3,3,3,2,3,3,2,4,4,3,,-,3,2,8,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,1,-,1,2,,,,,,3,2,8,2,3,4,2,1,65,,15,8,1949,3,1,3,,,,,,,,,,,,-,,-,,-,,8,1,2,,,2,2,1,CONSTRUA 3MBARCACIONES,1,"CONSTRUCCIN DE EMBARCACIONES, LANCHAS",1,MICROEMPRESARIO EN CONSTRUCCIN DE LANCHAS,9999,8,1,3,3,1,-,3,5,1,88,-,88,1,2,1,2,1,0,1,0,98,,4,88,1,1,-,1,-,4,1,4,1,2,1,1,1,2,1,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,0.431,2,65,5,3,1,1
1013,De Los Lagos,10,Calbuco,1,11,4,1,5,9,4,2,4,4,2,1,2,1,2,1,1,1,1,2,9,-,4,-,4,-,4,-,1,,6,4,6,6,4,4,3,6,6,6,4,3,4,6,6,6,6,3,3,6,6,6,6,4,3,6,4,6,6,6,6,8,2,2,4,2,1,2,5,1,1,1,2,5,4,4,2,4,2,1,3,3,3,3,2,3,2,3,4,3,4,4,2,2,3,1,1,5,1,2,2,1,3,3,3,3,3,3,3,1,2,4,4,8,2,1,2,4,1,1,1,1,1,1,1,1,1,1,1,2,,-,2,3,2,1,1,2,2,3,4,4,4,4,3,2,5,3,3,5,1,2,3,1,3,4,4,1,2,2,1,4,3,5,2,3,2,3,2,2,2,2,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,-,,1,1,1,1,1,1,3,2,4,4,4,3,2,1,35,,5,9,1979,10,3,1,1,45,1,,,2,,,1,2,1,DESESPINADORA DE FILE4E,1,SACAR LAS ESPINAS A LOS SALMONES EN SALMONERA,1,SALMONERA,7511,1,3,,,,,,,-,,-,,-,,,3,3,2,2,-,1,5,2,,-,5,1,5,1,3,1,2,1,0,1,10,8,9,3,1,-,1,-,3,1,4,1,1,1,2,2,1,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,0.946,2,35,3,4,1,3
1014,De Los Lagos,10,Calbuco,1,11,4,14,6,1,3,1,1,2,1,1,1,1,1,1,2,2,1,2,4,-,,-,1,-,,-,1,,5,4,6,6,4,4,8,8,8,8,4,6,4,6,6,6,8,6,4,6,6,8,6,8,4,8,6,8,4,6,6,1,1,4,5,5,6,5,5,5,4,2,2,2,2,3,2,1,1,3,3,3,3,3,3,3,2,3,3,3,1,1,1,1,1,1,1,2,2,2,3,2,2,2,2,2,2,2,2,2,3,3,2,3,2,3,3,2,1,1,1,1,2,1,1,3,2,2,4,2,,-,1,2,4,1,1,2,3,3,2,1,1,1,1,1,3,4,5,5,1,3,3,1,5,5,3,1,1,1,1,2,1,3,4,1,4,3,3,2,4,3,4,5,5,3,1,,,,,,,,,,,,,,,,,,,,,,,,-,,1,2,2,2,1,2,3,2,2,4,2,1,2,1,43,,28,3,1972,12,4,1,1,44,1,,,2,,,2,1,1,AUXILIAR DE ASEO,1,"MANTENER LA LIMPIEZA DEL COLEGIO,",1,"ES COLEGIO MUNICIPAL, INSTRUYE A LOS NIOS",9112,1,2,2,,,2,2,1,REPARA EMBARCACIONES,1,"REPARAR,",1,"IND3PENDIENTE, REPARA EMBARCACIONES",9621,5,4,3,3,1,-,5,5,1,5,-,88,1,4,1,2,1,2,1,0,1,9,5,6,4,1,-,1,-,3,1,4,1,1,1,2,1,2,1,2,2,2,2,1,2,1,1,2,2,1,2,2,2,2,2,0.631,2,43,3,4,1,3
1015,De Los Lagos,10,Calbuco,2,15,4,3,7,11,3,3,3,3,1,2,1,2,1,2,2,8,1,1,9,-,88,-,8,-,8,-,1,,6,2,6,6,3,4,6,6,6,6,3,3,6,6,6,6,6,6,4,6,6,6,6,6,6,3,6,6,6,6,6,8,8,6,6,6,6,6,6,6,6,2,8,3,2,3,3,1,1,3,3,1,1,1,1,4,1,1,1,3,1,3,1,1,1,2,1,5,2,2,1,1,2,2,2,2,1,2,1,2,3,3,3,2,3,3,4,2,2,3,3,2,3,2,2,2,3,4,4,2,,-,3,3,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2010,3,4,8,1,3,1,2,4,2,2,2,3,1,1,1,1,1,1,2,1,2,-,1,1,8,8,2,4,8,3,3,1,3,3,4,1,1,61,,8,12,1953,6,1,2,,,1,,,2,,,1,2,1,CORTAR ARBOLES Y HACER LEA,1,CORTAR L3A,1,3MPRESARIO DE CAMPO,6113,9,1,1,1,30,2,2,1,COMERCIO,1,VENDER AL PUBLICO NEGOCIO ABARROTES,1,NEGOCIO DE ABARROTES,5211,2,1,3,3,1,-,5,2,1,88,-,5,1,6,1,5,1,0,1,1,1,5,6,10,1,1,-,1,-,5,1,4,1,1,1,1,2,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0.84,1,61,5,4,1,2
1016,De Los Lagos,10,Calbuco,2,15,4,2,3,5,5,3,2,2,2,2,2,2,1,2,2,1,2,2,9,-,4,-,1,-,,-,1,,4,4,6,6,4,4,4,6,6,4,2,4,4,6,6,6,6,4,4,6,6,4,6,4,4,4,4,4,4,6,6,1,2,3,3,3,3,2,2,1,1,2,2,4,4,2,2,1,3,1,3,3,1,1,1,1,2,3,3,3,2,2,3,1,3,1,2,3,1,2,1,1,2,2,2,2,3,1,1,1,4,4,2,4,2,1,4,3,1,1,1,1,1,1,1,1,1,4,4,3,,-,3,1,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,3,1,2,4,2,2,2,5,1,1,1,1,1,1,2,2,1,-,1,2,,,,,,3,2,1,4,2,4,2,1,38,,17,5,1977,6,1,3,,,,,,,,,,,,-,,-,,-,,9,1,1,1,65,1,2,1,CONDUCTOR DE CAMIONES,1,TRASLADAR RIPIO DE EN UNA EMPRESA,1,CONSTRUCTORA,8332,1,2,3,3,1,-,8,5,1,5,-,88,1,4,1,2,1,2,1,0,1,8,1,9,5,1,-,1,-,5,1,3,1,2,1,2,1,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,0.231,2,38,3,3,1,2
1017,De Los Lagos,10,Calbuco,2,15,4,10,2,16,1,2,3,3,3,2,2,2,2,2,2,2,1,3,7,-,,-,2,-,,-,4,,2,3,6,6,3,4,2,3,6,3,4,3,2,6,6,6,4,6,2,6,6,2,6,3,6,3,6,6,6,6,6,2,2,5,6,2,5,5,7,2,1,2,2,3,4,4,2,2,2,2,4,3,8,1,3,3,3,3,3,3,4,4,4,3,3,1,1,5,2,2,1,1,2,3,1,1,2,2,3,1,4,2,4,2,2,3,2,2,1,1,1,1,1,1,1,1,1,3,1,3,,-,3,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,1,2,3,1,1,1,2,1,1,2,9,9,2,1,2,2,5,2,1,2,1,1,2,2,5,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,-,,2,,,,,,3,2,2,5,4,4,1,1,62,,1,8,1952,3,1,1,1,30,2,,,2,,,1,2,1,AGRICULTOR,1,"SEMBRAR, HAGO LEA,",1,AGRICULTURA,6113,1,1,1,1,50,2,2,1,COMERCIANTE,1,"ATENDER PUBLICO, HACER EMPANADAS , PAN PARA EL NEGOCIO",1,COMERCIO,5211,1,1,3,3,1,-,8,3,1,7,-,5,1,2,1,2,1,0,1,0,98,,8,11,1,1,-,1,-,4,2,3,1,2,2,1,1,2,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0.336,1,62,5,3,3,1
1018,De Los Lagos,10,Calbuco,2,15,4,1,2,3,3,3,4,2,2,2,2,2,1,2,2,2,2,3,1,-,,-,4,-,4,-,2,,2,2,3,2,2,2,3,2,2,3,1,1,2,2,3,2,2,2,1,3,2,2,1,2,2,3,6,6,2,2,2,2,2,1,3,1,4,1,3,1,1,1,2,3,2,4,4,4,4,4,4,4,4,2,2,4,2,4,4,4,2,4,3,2,4,2,2,3,2,1,1,1,3,3,2,3,2,3,1,1,3,4,2,3,3,1,2,4,2,2,2,2,3,2,2,2,2,2,4,3,,-,3,2,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1990,1,3,4,2,,,,,,,,,,,,,,,,,3,-,1,2,,,,,,2,2,1,3,4,3,1,1,81,,6,9,1933,4,1,2,,,1,,,2,,,1,2,1,CONDUCTOR DE CAMIONES,1,"CONDUCIR, TRASLADAR DE TODO RUBRO PRODUCTOS",1,EMPRESA DE TRANSPORTE,8332,8,3,,,,,,,-,,-,,-,,,1,3,2,1,-,5,5,2,,-,88,1,1,1,1,1,0,1,0,98,,8,8,2,1,-,1,-,5,1,5,1,2,1,1,1,1,1,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,0.168,1,81,5,4,1,2
1019,De Los Lagos,10,Calbuco,2,15,4,3,10,11,2,3,3,3,2,2,2,2,2,2,2,2,2,3,2,-,,-,1,-,,-,1,,2,2,6,6,4,4,3,4,2,3,5,2,3,6,6,6,2,3,4,6,6,8,6,2,2,2,8,6,6,6,6,1,2,1,2,1,3,1,2,2,1,2,2,4,2,2,2,3,2,2,4,3,4,4,3,3,2,3,3,3,3,3,3,3,3,1,2,3,1,2,1,1,3,3,3,3,3,3,3,3,2,3,3,2,2,3,1,2,2,2,1,1,1,1,1,1,1,3,3,3,,-,3,1,4,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1988,8,1,8,1,2,4,2,4,2,4,4,5,1,1,1,1,1,1,2,2,1,-,2,2,,,,,,2,2,2,1,4,3,2,1,47,,1,7,1967,6,1,2,,,1,,,2,,,2,2,1,ASESORA DE HOGAR,1,"ASEO, LAVAR, COCINAR, CUIDAR NIOS",1,CASA PARTICULAR,9111,9,1,1,1,60,1,2,1,CONDUCTOR DE CAMIONES,1,"CONDUCIR, TRASLADAR SARDINAS",1,EMPRESA D3 TRANSPORTE,8332,1,2,3,3,1,-,5,5,1,2,-,5,1,4,1,4,1,0,1,0,98,,1,8,1,1,-,1,-,5,1,4,1,2,1,1,1,1,1,1,1,2,2,1,2,1,2,2,2,2,2,2,1,2,2,0.398,2,47,4,4,1,2
1020,De Los Lagos,10,Calbuco,2,15,4,10,3,7,3,2,4,3,2,2,8,2,2,2,2,8,2,2,9,-,9,-,4,-,4,-,1,,3,3,6,6,3,3,6,6,6,3,3,3,3,6,6,6,6,6,4,6,6,3,6,6,3,3,3,6,6,6,6,1,1,4,5,4,4,5,5,4,4,2,2,3,2,3,3,3,3,4,4,3,3,3,3,3,3,4,4,4,3,3,3,3,3,2,2,4,2,2,2,3,2,2,2,2,2,2,2,2,3,4,3,3,4,3,2,2,2,2,2,2,2,2,2,2,2,3,3,3,,-,3,3,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,2,4,2,4,2,4,4,4,1,1,1,1,1,1,2,2,1,-,3,2,,,,,,2,2,3,2,3,3,2,1,38,,5,7,1976,9,3,3,,,,,,,,,,,,-,,-,,-,,9,1,1,1,45,2,2,1,AGRICULTOR,1,"SEMBRAR , VER ANIMALES, HACER LEA Y VENDERLA",1,AGRICULTURA,6114,1,1,3,3,1,-,5,5,1,9,-,88,1,3,1,2,1,1,1,0,1,15,1,8,1,1,-,1,-,5,1,4,1,1,1,2,2,2,1,2,2,2,2,1,2,1,2,2,2,1,2,2,2,1,2,0.231,2,38,3,4,1,3
1021,De Los Lagos,10,Maulln,2,14,4,7,2,3,3,2,4,2,1,1,2,1,1,1,1,1,1,2,9,-,9,-,2,-,,-,3,,3,3,6,6,4,3,8,6,3,3,3,3,3,6,6,6,3,3,3,6,6,4,6,6,3,6,6,6,6,6,3,1,1,4,6,5,6,5,5,5,4,2,1,3,2,2,3,3,2,2,3,3,3,3,2,3,2,2,3,3,3,3,2,2,3,2,2,3,1,2,2,1,1,2,2,1,2,2,2,2,3,3,3,3,3,1,4,4,2,2,2,2,2,2,2,2,3,1,2,2,,-,2,2,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2013,12,3,5,1,2,3,2,3,2,4,4,4,1,1,1,1,2,1,2,2,1,-,2,1,2,1,1,1,1,2,2,2,2,3,3,2,1,45,,13,7,1969,12,4,2,,,1,,,2,,,2,1,1,ASISTENTE DE AYUDA A TAS DEL JARDN INFANTIL,1,CUIDAR LOS NIOS Y AYUDAR A LAS TAS CON LOS NIOS,1,JARDN INFANTIL DE LA JUNJI,2342,9,1,1,998,,1,2,1,BUZO MARISCADOR,1,BUCEAR Y PATRN DE EMBARCACIN MENOR A VECES,1,SALMONERA,7541,1,4,3,3,2,-,2,5,1,7,-,88,1,4,1,2,1,2,1,0,1,6,1,10,1,1,-,1,-,5,1,3,1,1,1,2,1,2,1,2,2,2,2,1,1,1,2,2,2,1,2,2,1,2,2,0.289,2,45,4,3,2,3
1022,De Los Lagos,10,Maulln,2,14,4,10,6,3,3,3,3,1,3,8,8,2,1,2,2,1,1,3,9,-,88,-,8,-,8,-,8,8,6,8,6,6,5,3,6,6,6,6,4,6,1,6,6,6,8,5,2,6,6,6,6,6,3,2,6,6,6,6,6,8,8,5,6,5,5,5,5,5,88,2,8,3,2,8,8,4,1,1,3,3,1,8,8,3,3,2,8,1,3,1,3,2,1,8,1,8,2,2,2,2,2,8,2,2,2,8,8,1,8,3,8,3,8,1,3,8,1,1,1,2,8,1,1,1,2,3,1,2,,-,2,1,8,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2009,11,4,5,1,4,1,2,8,3,2,3,5,1,1,1,1,1,1,2,2,1,-,1,2,,,,,,3,3,3,8,8,4,2,1,47,,30,9,1968,5,1,2,,,1,,,2,,,1,2,1,DESCONCHAR MACHAS,1,DESCONCHAR MACHAS,1,MINI 3MPRESA DE DESCONCHE DE MACHAS,9629,9,1,1,1,30,1,2,1,LIMPIEZA DE CAMPO,1,LIMPIAR 3L CAMPO PARA PONER ESTACONES O LNEAS,1,UN PARTICULAR DE TERRENO LO BUSCA PARA TRABAJAR,9111,3,1,2,3,2,-,2,4,2,,-,88,1,2,1,2,1,0,1,0,98,,1,3,1,1,-,1,-,5,1,4,1,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,0.289,2,47,4,4,5,2
1023,De Los Lagos,10,Maulln,2,14,4,3,7,6,1,2,3,2,3,2,2,2,2,2,2,2,2,3,4,-,,-,1,-,,-,3,,4,4,6,6,1,3,3,6,6,3,3,3,2,6,6,4,4,6,5,3,6,6,6,6,6,3,6,6,6,6,6,2,2,2,2,2,5,5,3,1,1,2,2,4,4,4,2,1,1,2,3,4,3,3,3,4,4,4,4,3,4,4,3,1,4,1,2,5,1,1,1,1,3,3,3,3,3,3,2,2,3,4,4,4,3,3,3,2,1,1,1,1,1,1,1,1,1,3,3,2,,-,2,1,4,2,1,1,3,4,2,2,2,2,2,2,3,3,5,3,3,1,2,1,3,4,4,2,2,2,2,1,1,2,4,1,2,2,1,3,2,2,4,2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,-,,2,,,,,,3,1,1,5,5,4,1,1,35,,22,11,1979,7,1,1,1,40,3,1,4,1,1,3,1,2,1,CONTRATISTA DE CONSTRUCCIN,1,"CONSTRUYO CASAS, GASFITERA,",1,MICROEMPRESARIO INDEPENDIENTE DE CONSTRUCCIN,3333,1,1,2,,,1,2,1,AUXILIAR DE FURGN ESCOLAR,1,EMBARCAR A LOS NIOS EN EL FURGN Y CUIDARLOS,1,TRANSPORTE ESCOLAR,9999,9,2,3,3,2,-,3,5,2,,-,5,1,3,1,2,1,0,1,1,1,4,11,11,5,1,-,1,-,5,1,4,1,1,1,1,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0.562,1,35,3,4,2,2
1024,De Los Lagos,10,Maulln,2,14,4,11,1,13,3,8,2,2,1,1,8,2,9,1,1,8,8,3,7,-,,-,8,-,8,-,8,8,6,6,6,6,4,2,6,6,6,6,3,8,2,6,6,6,6,6,2,6,6,6,6,3,6,2,6,6,6,6,6,8,8,3,3,7,6,2,2,2,2,2,8,3,4,4,4,1,3,3,3,3,3,2,2,3,3,3,9,4,4,3,3,3,3,1,1,5,9,2,2,2,3,3,9,9,3,3,3,3,3,4,2,3,3,9,2,2,2,2,2,2,2,2,2,2,2,4,1,9,,-,3,2,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2012,2,3,7,1,3,2,2,2,2,2,2,3,1,1,1,1,1,1,2,2,3,-,1,2,,,,,,3,3,8,2,4,4,1,1,76,,27,9,1939,4,1,2,,,2,,,2,,,2,2,1,MAESTRO DE EMBARCACIONES,1,CONSTRUIR EMBARCACIONES,1,MI EMPRESA YO LAS HACIA,7119,8,3,,,,,,,-,,-,,-,,,1,3,3,1,-,4,1,1,5,-,88,1,2,1,2,1,0,1,0,98,,3,88,2,1,-,1,-,5,1,5,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,0.487,1,76,5,5,5,2
