xpos,ypos,distpinx,distpiny,distpin,distfrx,distfry,distfr,ditpinfrx,predpin,coinc1,strat1,strat2,Voto1,VotoPF,VotoPE,MBP22_A,MBP22_B,MBP22_C,MBP22_D,MBP22_E,MBP22_F,MBP02,MBP03,MBP04,MBP05,MBP07,MBP15,MBP21_A,MBP21_B,MBP21_C,MBP21_D,correct,correct2,NSE,vote
0.177336789,0.085977638,0.829047401,1.770879171,1.955334404,0.087058939,0.49824392,0.505792707,0.741988463,1,0,0,0,2,2,6,3,3,2,2,1,1,3,1,3,3,1,2,6,3,3,4,0,0,2,0
0.45302212,-0.098088898,0.553362071,1.586812635,1.680530845,0.188626392,0.314177384,0.366452377,0.364735679,1,1,0,0,1,1,1,2,2,2,3,1,2,3,1,3,2,1,1,2,10,7,4,0,0,3,1
0.731767949,-2.11529174,0.274616242,0.430390207,0.510538745,0.467372221,1.703025458,1.765993348,-0.19275598,0,0,0,0,1,1,1,3,3,3,3,3,3,2,2,3,4,2,5,5,6,2,1,1,1,3,1
0.401153177,-0.974125379,0.605231013,0.710776154,0.933545564,0.13675745,0.561859097,0.578263128,0.468473564,1,0,1,0,4,2,4,1,1,1,1,1,1,2,2,4,3,1,5,4,7,6,2,1,0,2,0
1.039504466,-1.648117741,0.033120275,0.036783792,0.049497475,0.775108738,1.235851459,1.458808549,-0.741988463,0,0,0,0,1,1,1,2,3,2,1,1,1,4,1,3,3,3,1,4,7,2,3,1,0,2,1
0.424031432,-2.58246574,0.582352758,0.897564206,1.06993282,0.159635705,2.170199457,2.176062785,0.422717054,1,0,1,0,4,2,4,2,2,2,2,1,1,3,1,3,3,1,2,6,4,8,3,0,0,2,0
0.412592305,-1.778295559,0.593791886,0.093394026,0.601091713,0.148196577,1.366029277,1.374044472,0.445595309,1,0,1,0,4,2,4,3,3,1,3,1,1,4,2,4,3,1,2,4,10,1,1,1,0,2,0
0.786178604,-1.515381728,0.220205586,0.169519805,0.277898299,0.521782877,1.103115446,1.22029548,-0.301577291,0,0,0,0,1,1,1,2,2,2,2,1,1,3,2,4,3,1,1,1,10,9,5,0,0,3,1
0.34933459,-0.674803935,0.6570496,1.010097598,1.20499433,0.084938862,0.262537652,0.275935915,0.572110738,1,0,0,0,2,2,4,3,3,3,2,3,1,2,1,2,2,1,2,10,1,3,5,0,0,3,0
0.412592305,-1.778295559,0.593791886,0.093394026,0.601091713,0.148196577,1.366029277,1.374044472,0.445595309,1,0,0,0,2,2,6,3,1,2,2,1,1,4,1,4,2,1,2,1,88,88,9,0,0,2,0
0.412592305,-1.778295559,0.593791886,0.093394026,0.601091713,0.148196577,1.366029277,1.374044472,0.445595309,1,0,1,0,4,2,4,2,2,1,1,1,1,3,1,3,2,1,2,10,10,1,1,0,0,2,0
0.564989131,-1.025210264,0.44139506,0.659691269,0.793739359,0.300593403,0.612943982,0.682683469,0.140801657,1,1,0,0,1,1,1,1,2,1,1,1,1,3,2,4,2,1,1,3,10,4,3,0,0,2,1
-1.352157718,-0.141275521,2.358541908,1.543626012,2.818776542,1.616553445,0.270990761,1.63910983,0.741988463,1,0,1,0,4,2,4,2,2,1,1,1,1,3,1,3,3,1,2,2,8,1,3,0,0,3,0
1.039504466,-1.648117741,0.033120275,0.036783792,0.049497475,0.775108738,1.235851459,1.458808549,-0.741988463,0,0,0,0,1,1,1,2,2,2,2,1,1,3,1,4,2,1,1,3,9,6,1,1,0,2,1
-0.401821663,-0.48240048,1.408205853,1.202501054,1.851770102,0.666217391,0.070134197,0.669898811,0.741988463,1,0,1,1,4,1,4,2,1,1,1,1,1,3,1,4,3,1,5,4,7,5,1,1,0,2,1
1.030505415,0.016368615,0.024121224,1.701270148,1.70144114,0.766109687,0.428634898,0.877867831,-0.741988463,0,0,0,0,1,1,1,2,2,2,2,1,1,3,1,2,3,2,5,4,7,5,1,1,0,2,1
-2.291611645,2.080693271,3.297995835,3.765594804,5.00564489,2.556007373,2.492959553,3.570437091,0.741988463,1,0,0,0,3,5,5,2,2,1,1,1,1,3,1,3,2,1,5,4,10,7,2,1,0,2,0
-1.191392036,-0.13829808,2.197776226,1.546603453,2.687415595,1.455787764,0.273968202,1.481342833,0.741988463,1,0,0,0,2,2,4,3,3,3,3,1,1,4,1,4,1,1,2,4,10,3,1,1,1,2,0
-1.875756449,-0.250435939,2.882140639,1.434465594,3.219382892,2.140152176,0.161830343,2.146261959,0.741988463,1,0,1,0,4,2,4,2,1,1,1,1,1,2,2,3,3,1,2,4,8,5,2,1,0,3,0
0.39167625,0.403744094,0.61470794,2.088645627,2.177224474,0.127280523,0.816010377,0.825877271,0.487427417,1,1,0,0,1,1,1,1,1,1,1,1,1,1,2,3,3,1,2,5,5,4,88,0,0,3,1
-0.536474711,-0.002787336,1.542858901,1.682114198,2.282525304,0.800870438,0.409478947,0.899481221,0.741988463,1,0,1,0,4,5,4,2,1,2,1,1,1,3,2,3,3,1,2,4,10,7,5,0,0,3,0
0.912841535,-1.581749735,0.093542655,0.103151799,0.139249854,0.648445807,1.169483452,1.337226051,-0.554903152,0,0,0,0,1,1,1,3,3,2,2,1,1,3,1,3,3,3,1,4,8,5,2,1,0,2,1
-0.268827912,-0.002129549,1.275212102,1.682771985,2.11137099,0.533223639,0.410136734,0.672710629,0.741988463,1,0,0,0,3,5,5,1,2,2,2,1,1,3,2,3,3,1,3,4,10,5,1,1,0,2,0
0.177336789,0.085977638,0.829047401,1.770879171,1.955334404,0.087058939,0.49824392,0.505792707,0.741988463,1,0,0,0,3,2,4,2,2,1,1,1,1,4,1,4,2,1,3,4,10,6,2,1,0,2,0
1.039504466,-1.648117741,0.033120275,0.036783792,0.049497475,0.775108738,1.235851459,1.458808549,-0.741988463,0,0,0,0,1,1,1,2,2,2,2,1,1,3,1,4,3,1,5,5,7,88,88,0,0,2,1
0.401153177,-0.974125379,0.605231013,0.710776154,0.933545564,0.13675745,0.561859097,0.578263128,0.468473564,1,0,0,0,2,2,4,2,2,3,3,1,1,4,2,4,3,1,2,5,10,4,1,1,1,2,0
-0.915706705,-0.322364616,1.922090896,1.362536917,2.356043349,1.180102433,0.089901666,1.183521889,0.741988463,1,1,0,0,1,1,1,1,1,1,1,1,1,1,2,4,2,1,4,2,9,4,5,0,0,2,1
0.424031432,-2.58246574,0.582352758,0.897564206,1.06993282,0.159635705,2.170199457,2.176062785,0.422717054,1,0,1,1,4,1,4,2,2,2,2,2,1,4,1,4,3,1,2,6,8,3,1,1,1,2,1
1.515830891,0.350299198,0.509446701,2.035200731,2.097993793,1.251435164,0.76256548,1.465467871,-0.741988463,0,0,0,0,1,1,1,3,1,1,1,1,1,3,1,4,2,2,5,1,5,1,1,0,0,2,1
0.401153177,-0.974125379,0.605231013,0.710776154,0.933545564,0.13675745,0.561859097,0.578263128,0.468473564,1,0,0,0,5,5,5,3,3,3,3,1,1,2,2,3,3,9,9,5,10,7,6,0,0,3,0
1.849696941,-4.702626548,0.843312751,3.017725015,3.133343368,1.585301214,4.290360266,4.573879223,-0.741988463,0,0,0,0,3,2,4,2,3,3,3,1,1,3,2,3,4,1,5,8,9,6,3,1,1,2,0
0.401153177,-0.974125379,0.605231013,0.710776154,0.933545564,0.13675745,0.561859097,0.578263128,0.468473564,1,0,0,0,2,2,5,3,3,2,2,2,2,4,1,4,2,1,2,6,10,8,2,1,0,2,0
1.550192465,0.309086739,0.543808275,1.993988272,2.066813168,1.285796738,0.721353021,1.474321346,-0.741988463,0,0,0,0,1,2,1,2,2,2,2,2,1,3,1,2,3,2,1,5,9,4,3,1,1,3,0
1.039504466,-1.648117741,0.033120275,0.036783792,0.049497475,0.775108738,1.235851459,1.458808549,-0.741988463,0,0,0,0,6,6,6,1,1,1,1,1,1,2,1,3,2,1,1,1,6,3,1,0,0,3,0
-0.077046696,0.030943751,1.083430887,1.715845284,2.029272659,0.341442424,0.443210033,0.559480171,0.741988463,1,0,0,0,2,2,4,2,2,2,1,1,1,4,2,3,2,1,5,4,10,7,4,0,0,3,0
0.401153177,-0.974125379,0.605231013,0.710776154,0.933545564,0.13675745,0.561859097,0.578263128,0.468473564,1,0,1,1,4,1,4,2,2,2,2,2,1,3,1,3,4,1,2,7,9,5,5,1,0,3,1
0.401153177,-0.974125379,0.605231013,0.710776154,0.933545564,0.13675745,0.561859097,0.578263128,0.468473564,1,0,0,0,5,2,5,2,1,2,2,1,1,2,8,3,3,1,5,5,8,8,3,1,0,3,0
0.243929818,-0.437608026,0.762454372,1.247293507,1.461874743,0.020465909,0.025341743,0.032573876,0.741988463,1,0,0,0,2,2,4,3,3,3,1,2,2,3,1,3,2,1,2,5,10,4,4,1,0,2,0
0.401153177,-0.974125379,0.605231013,0.710776154,0.933545564,0.13675745,0.561859097,0.578263128,0.468473564,1,1,0,0,1,1,1,1,1,1,1,1,1,3,1,4,1,1,2,5,10,4,3,1,1,3,1
0.399482097,-1.486308253,0.606902094,0.19859328,0.638568275,0.135086369,1.074041971,1.082503803,0.471815724,1,0,1,0,4,2,4,2,3,2,2,1,2,1,3,3,2,1,2,1,10,2,1,0,0,3,0
0.401153177,-0.974125379,0.605231013,0.710776154,0.933545564,0.13675745,0.561859097,0.578263128,0.468473564,1,0,0,0,2,2,5,2,1,2,2,1,1,4,2,1,2,1,2,4,10,1,1,1,0,2,0
0.72870745,-0.282155434,0.27767674,1.402746099,1.429965381,0.464311723,0.130110848,0.482197272,-0.186634983,0,0,0,0,1,1,1,2,3,1,2,1,1,3,1,3,2,1,1,3,8,4,4,0,0,2,1
0.554631458,0.298886155,0.451752733,1.983787688,2.034574679,0.29023573,0.711152437,0.76809802,0.161517002,1,1,0,0,1,1,1,1,1,1,2,2,1,3,2,3,3,1,1,8,10,6,2,1,1,2,1
1.821750945,0.12618682,0.815366754,1.811088353,1.986168162,1.557355217,0.538453102,1.647812797,-0.741988463,0,0,0,0,1,1,1,1,1,2,1,1,1,3,1,4,3,2,1,4,10,5,5,0,0,2,1
0.401153177,-0.974125379,0.605231013,0.710776154,0.933545564,0.13675745,0.561859097,0.578263128,0.468473564,1,0,1,0,4,6,6,3,3,1,3,1,1,4,1,4,2,1,2,3,10,5,88,0,0,2,0
-1.003522501,0.078332925,2.009906691,1.763234458,2.673709158,1.267918228,0.490599207,1.359523525,0.741988463,1,0,1,0,4,2,4,2,3,2,3,1,1,3,2,3,3,1,2,7,10,5,1,1,1,2,0
0.401153177,-0.974125379,0.605231013,0.710776154,0.933545564,0.13675745,0.561859097,0.578263128,0.468473564,1,0,0,0,5,5,5,2,2,2,2,1,1,4,1,3,2,1,1,6,8,5,3,1,1,2,0
0.401153177,-0.974125379,0.605231013,0.710776154,0.933545564,0.13675745,0.561859097,0.578263128,0.468473564,1,0,0,0,5,5,5,2,2,1,1,1,1,4,1,3,2,1,2,3,10,3,3,0,0,2,0
0.401153177,-0.974125379,0.605231013,0.710776154,0.933545564,0.13675745,0.561859097,0.578263128,0.468473564,1,0,1,0,4,5,4,2,2,3,2,1,2,4,1,4,1,1,3,5,10,3,2,1,1,2,0
0.401153177,-0.974125379,0.605231013,0.710776154,0.933545564,0.13675745,0.561859097,0.578263128,0.468473564,1,1,0,0,1,1,1,3,3,2,3,1,1,3,2,3,2,1,3,1,7,5,1,0,0,2,1
0.401153177,-0.974125379,0.605231013,0.710776154,0.933545564,0.13675745,0.561859097,0.578263128,0.468473564,1,0,0,0,2,2,5,3,3,3,3,2,1,3,2,3,3,1,2,4,7,6,3,1,0,2,0
